0,-61,-0.1,0.13,-1.03,75.77,-90.95,155.47,1,1
1,-64,-0.11,0.14,-1.01,76.74,-91.97,155.45,2,1
2,-60,-0.13,0.12,-1,78.89,-93.95,154.27,3,1
3,-57,-0.11,-0.05,-1.05,66.78,-87.97,154.01,4,1
4,-64,-0.16,-0.11,-1.25,30.37,-78.21,151.63,5,1
5,-66,-0.11,-0.01,-1.31,12.44,-65.92,126.44,6,1
6,-63,-0.03,0.03,-1.14,12.76,-65.73,95.98,7,1
7,-58,-0.02,0.09,-1,21.19,-74.45,59.21,8,1
8,-63,-0.07,0.08,-0.96,42.88,-83.3,16.62,9,1
9,-56,-0.09,0,-0.96,51.91,-74.08,-19.25,10,1
10,-58,-0.05,-0.09,-0.98,59.11,-42.93,-32.81,12,1
11,-54,-0.11,-0.13,-1.05,52.5,-24.11,-16.91,13,1
12,-58,-0.29,0,-1.26,32.38,7.4,4.45,15,1
13,-55,-0.29,0.03,-1.26,16.61,17.85,-8.66,16,1
14,-53,-0.23,0.09,-0.89,-28.24,39.45,58.44,20,1
15,-61,-0.02,0.05,-1.28,-10.86,39.64,64.89,21,1
16,-61,-0.17,-0.19,-0.91,23.37,45.49,27.27,25,1
17,-69,-0.13,-0.2,-0.98,-3.33,39.4,74.88,26,1
18,-66,-0.16,-0.05,-1.02,-15.74,29.02,104.56,27,1
19,-58,-0.34,0.04,-1.02,-17.21,27.5,95.89,28,1
20,-56,-0.33,0.1,-1.01,-14.53,29.16,62.86,29,1
21,-60,-0.26,0.03,-1.07,-6.05,22.14,43.34,30,1
22,-84,-0.21,-0.06,-1.16,-11.45,8.34,50.28,31,1
23,-60,-0.24,-0.04,-1.25,-20.08,-5.63,48.89,32,1
24,-56,-0.19,-0.01,-1.42,-10.27,-8.42,55.11,33,1
25,-58,-0.18,-0.06,-1.42,2.55,-18.46,59.69,34,1
26,-61,-0.06,-0.05,-1.28,16.24,-34.54,84.72,35,1
27,-57,-0.13,0.07,-1,58.34,-67.31,103.56,37,1
28,-61,-0.14,-0.13,-1.17,53.6,-60.01,106.53,38,1
29,-74,-0.16,-0.18,-1.3,15.36,-58.59,83.95,39,1
30,-57,-0.09,-0.06,-1.32,3.08,-56.9,52.71,40,1
31,-69,0.02,-0.04,-1.12,19.21,-64.91,51.32,41,1
32,-59,-0.06,-0.01,-0.94,47.47,-70.39,57.66,43,1
33,-56,-0.18,-0.02,-1.03,51.5,-37.51,-33.1,47,1
34,-56,-0.21,-0.04,-1.05,43.6,-22.28,-46.07,48,1
35,-58,-0.25,-0.07,-1.23,34.86,7.3,-35.62,49,1
36,-58,-0.28,-0.14,-1.25,7.66,20.76,-24.91,50,1
37,-59,-0.34,-0.2,-1.18,-23.08,55.36,22.62,51,1
38,-55,-0.38,-0.1,-0.93,-50.77,67.82,88.5,52,1
39,-55,-0.3,0.12,-0.75,-67.47,51.56,101.41,53,1
40,-55,-0.27,0.31,-0.94,-56.88,32.6,71.25,54,1
41,-57,-0.25,0.17,-1.34,20.08,0.3,-22.85,56,1
42,-56,-0.18,-0.02,-0.94,24.21,2.47,-11.83,58,1
43,-55,-0.24,-0.09,-0.86,16.35,16.23,11.51,59,1
44,-58,-0.23,-0.1,-0.86,-5.06,21.94,23.19,60,1
45,-58,-0.22,-0.1,-0.92,-19.17,34.91,35.2,61,1
46,-62,-0.24,-0.08,-0.95,-28.22,41.74,54.78,62,1
47,-59,-0.29,-0.05,-0.98,-35.93,45.89,60.18,63,1
48,-63,-0.28,-0.02,-1.15,-40.2,44.25,72.18,64,1
49,-61,-0.29,0.04,-1.21,-33.88,23.95,81.72,65,1
50,-69,-0.3,0.1,-1.27,-18.1,6.37,85.05,66,1
